prompt_id,prompt_url,prompt_title,contest_number,n_submissions
1,https://blog.reedsy.com/creative-writing-prompts/short-story/write-a-story-inspired-by-the-ultimate-cliched-twi/,Write a story inspired by the ultimate clichéd twist: it was all just a dream.,291,18
2,https://blog.reedsy.com/creative-writing-prompts/angst/center-your-story-around-a-character-s-addiction-o/,Center your story around a character’s addiction or obsession.,291,20
3,https://blog.reedsy.com/creative-writing-prompts/drama/write-a-story-that-keeps-a-key-detail-hidden-from-/,Write a story that keeps a key detail hidden from the reader until the very end.,291,22
4,https://blog.reedsy.com/creative-writing-prompts/drama/center-your-story-around-a-character-who-successfu/,Center your story around a character who successfully — or unsuccessfully — escapes their fate.,291,25
5,https://blog.reedsy.com/creative-writing-prompts/short-story/write-a-story-with-a-huge-surprise-either-in-the-m/,"Write a story with a huge surprise, either in the middle or the end.",291,18
6,https://blog.reedsy.com/creative-writing-prompts/short-story/write-a-story-in-which-the-first-and-last-sentence/,Write a story in which the first and last sentence are the same.,294,25
7,https://blog.reedsy.com/creative-writing-prompts/short-story/create-a-title-with-reedsy-s-title-generator-then-/,"Create a title with Reedsy’s Title Generator, then write a story inspired by it.",294,10
8,https://blog.reedsy.com/creative-writing-prompts/short-story/write-a-story-in-the-form-of-a-letter-or-several-l/,"Write a story in the form of a letter, or several letters sent back and forth.",294,14
9,https://blog.reedsy.com/creative-writing-prompts/drama/center-your-story-around-someone-who-s-at-a-loss-f/,"Center your story around someone who’s at a loss for words, or unable to speak.",294,16
10,https://blog.reedsy.com/creative-writing-prompts/dialogue/write-a-story-with-the-line-i-didn-t-mean-that-or-/,"Write a story with the line ""I didn’t mean that” or “I’ve said too much.”",294,9
11,https://blog.reedsy.com/creative-writing-prompts/drama/write-a-story-that-includes-the-line-do-i-know-you/,Write a story that includes the line “Do I know you?” or “Have we met before?”,309,29
12,https://blog.reedsy.com/creative-writing-prompts/short-story/start-or-end-your-story-with-a-character-making-fo/,Start or end your story with a character making food or a drink for themself or someone else.,309,21
13,https://blog.reedsy.com/creative-writing-prompts/character/center-your-story-around-a-character-who-yearns-fo/,Center your story around a character who yearns for someone or something they’ve lost — or never had.,309,32
14,https://blog.reedsy.com/creative-writing-prompts/short-story/write-a-story-with-a-person-s-name-in-the-title/,Write a story with a person’s name in the title.,309,19
15,https://blog.reedsy.com/creative-writing-prompts/drama/center-your-story-around-two-characters-who-like-e/,Center your story around two characters who like each other but don’t get a happily ever after.,309,16
16,https://blog.reedsy.com/creative-writing-prompts/drama/write-a-story-where-a-character-s-true-identity-or/,Write a story where a character's true identity or self is revealed.,316,14
17,https://blog.reedsy.com/creative-writing-prompts/short-story/include-the-word-hero-mask-or-truth-in-your-story-/,"Include the word “hero,” “mask,” or “truth"" in your story’s title.",316,15
18,https://blog.reedsy.com/creative-writing-prompts/drama/write-a-story-from-the-pov-of-someone-who-s-hiding/,Write a story from the POV of someone who’s hiding a secret.,316,15
19,https://blog.reedsy.com/creative-writing-prompts/drama/center-your-story-around-someone-s-public-image-an/,Center your story around someone’s public image and private self colliding.,316,9
20,https://blog.reedsy.com/creative-writing-prompts/short-story/write-a-story-that-includes-the-line-can-you-keep-/,"Write a story that includes the line ""Can you keep a secret?"" or “My lips are sealed.""",316,7
