hypothesis,model,prompt_id,contest_number,context_prompt_url,N,TOPN_max,TOPN_media,TOPN_min,Real,Votos_Real,Votos_TOP1_Best
H2,all-mpnet-base-v2,291::https://blog.reedsy.com/creative-writing-prompts/short-story/write-a-story-inspired-by-the-ultimate-cliched-twi/,,,1,19.0,19.0,19.0,29.0,0.6551724137931034,0.6551724137931034
H2,all-mpnet-base-v2,291::https://blog.reedsy.com/creative-writing-prompts/short-story/write-a-story-inspired-by-the-ultimate-cliched-twi/,,,2,29.0,24.0,19.0,29.0,0.6551724137931034,0.6551724137931034
H2,all-mpnet-base-v2,291::https://blog.reedsy.com/creative-writing-prompts/short-story/write-a-story-inspired-by-the-ultimate-cliched-twi/,,,3,29.0,20.666666666666668,14.0,29.0,0.6551724137931034,0.6551724137931034
H2,all-mpnet-base-v2,291::https://blog.reedsy.com/creative-writing-prompts/short-story/write-a-story-inspired-by-the-ultimate-cliched-twi/,,,4,29.0,19.75,14.0,29.0,0.6551724137931034,0.6551724137931034
H2,all-mpnet-base-v2,291::https://blog.reedsy.com/creative-writing-prompts/short-story/write-a-story-inspired-by-the-ultimate-cliched-twi/,,,5,29.0,18.4,13.0,29.0,0.6551724137931034,0.6551724137931034
H2,all-mpnet-base-v2,291::https://blog.reedsy.com/creative-writing-prompts/short-story/write-a-story-inspired-by-the-ultimate-cliched-twi/,,,6,29.0,17.666666666666668,13.0,29.0,0.6551724137931034,0.6551724137931034
H2,all-mpnet-base-v2,291::https://blog.reedsy.com/creative-writing-prompts/short-story/write-a-story-inspired-by-the-ultimate-cliched-twi/,,,7,29.0,18.285714285714285,13.0,29.0,0.6551724137931034,0.6551724137931034
H2,all-mpnet-base-v2,291::https://blog.reedsy.com/creative-writing-prompts/angst/center-your-story-around-a-character-s-addiction-o/,,,1,40.0,40.0,40.0,40.0,1.0,1.0
H2,all-mpnet-base-v2,291::https://blog.reedsy.com/creative-writing-prompts/angst/center-your-story-around-a-character-s-addiction-o/,,,2,40.0,28.0,16.0,40.0,1.0,1.0
H2,all-mpnet-base-v2,291::https://blog.reedsy.com/creative-writing-prompts/angst/center-your-story-around-a-character-s-addiction-o/,,,3,40.0,23.666666666666668,15.0,40.0,1.0,1.0
H2,all-mpnet-base-v2,291::https://blog.reedsy.com/creative-writing-prompts/angst/center-your-story-around-a-character-s-addiction-o/,,,4,40.0,20.5,11.0,40.0,1.0,1.0
