protocol_id,role,k,count_label,models
tournament_description,primary,1,0/6,(none)
tournament_description,primary,2,0/6,(none)
tournament_description,primary,3,1/6,google-gemini-3.1-pro-preview
tournament_description,primary,4,0/6,(none)
tournament_description,primary,5,0/6,(none)
tournament_description,primary,6,1/6,x-ai-grok-4.3
tournament_description,primary,7,1/6,x-ai-grok-4.3
with_anchor_no_desc,ablation,1,0/3,(none)
with_anchor_no_desc,ablation,2,0/3,(none)
with_anchor_no_desc,ablation,3,0/3,(none)
with_anchor_no_desc,ablation,4,0/3,(none)
with_anchor_no_desc,ablation,5,0/3,(none)
with_anchor_no_desc,ablation,6,0/3,(none)
with_anchor_no_desc,ablation,7,1/3,x-ai-grok-4.1-fast
with_anchor_with_desc,ablation,1,0/2,(none)
with_anchor_with_desc,ablation,2,1/2,deepseek-deepseek-v3.1-terminus
with_anchor_with_desc,ablation,3,0/2,(none)
with_anchor_with_desc,ablation,4,0/2,(none)
with_anchor_with_desc,ablation,5,0/2,(none)
with_anchor_with_desc,ablation,6,0/2,(none)
with_anchor_with_desc,ablation,7,0/2,(none)
no_anchor_no_desc,ablation,1,0/4,(none)
no_anchor_no_desc,ablation,2,0/4,(none)
no_anchor_no_desc,ablation,3,0/4,(none)
no_anchor_no_desc,ablation,4,0/4,(none)
no_anchor_no_desc,ablation,5,0/4,(none)
no_anchor_no_desc,ablation,6,0/4,(none)
no_anchor_no_desc,ablation,7,0/4,(none)
no_anchor_with_desc,ablation,1,0/4,(none)
no_anchor_with_desc,ablation,2,0/4,(none)
no_anchor_with_desc,ablation,3,0/4,(none)
no_anchor_with_desc,ablation,4,0/4,(none)
no_anchor_with_desc,ablation,5,0/4,(none)
no_anchor_with_desc,ablation,6,0/4,(none)
no_anchor_with_desc,ablation,7,0/4,(none)
